,0
0,Codecademy
1,Codecademy
2,Codecademy
3,Codecademy
4,Others
5,Others
6,Others
7,Others
8,Others
9,Others
10,Others
11,Others
12,Others
13,Real python
14,Real python
15,Real python
16,Real python
17,Real python
18,Solo learn
19,Solo learn
20,Solo learn
21,Solo learn
22,Solo learn
23,Solo learn
24,Solo learn
25,Solo learn
26,Solo learn
27,Solo learn
28,Solo learn
29,Solo learn
30,Solo learn
31,Solo learn
32,Winter Codex
33,Winter Codex
34,Winter Codex
35,Winter Codex
36,Winter Codex
37,Winter Codex
38,Winter Codex
39,Winter Codex
40,Winter Codex
41,Winter Codex
42,Winter Codex
43,Winter Codex
44,Winter Codex
45,Winter Codex
46,Winter Codex
47,Winter Codex
48,Others
49,Udemy
50,Udemy
51,Udemy
52,Udemy
53,Udemy
54,Udemy
55,Udemy
56,Udemy
57,Others
58,Google
59,Google
60,Google
61,Google
62,Google
63,Google
64,Google
65,Google
66,Google
67,Google
68,Google
69,Google
70,Google
71,Google
72,Google
73,Google
74,Google
75,Google
76,Google
77,Google
78,Google
79,Google
80,Google
81,Google
82,Google
83,Google
84,Google
85,Google
86,Google
87,Google
88,Google
89,Google
90,Google
91,Google
92,Google
93,Google
94,Google
95,Youtube
96,Youtube
97,Youtube
98,Youtube
99,Youtube
100,Youtube
101,Youtube
